"","areaType","areaName","areaCode","date","age","VaccineRegisterPopulationByVaccinationDate","cumPeopleVaccinatedCompleteByVaccinationDate","newPeopleVaccinatedCompleteByVaccinationDate","cumPeopleVaccinatedFirstDoseByVaccinationDate","newPeopleVaccinatedFirstDoseByVaccinationDate","cumPeopleVaccinatedSecondDoseByVaccinationDate","newPeopleVaccinatedSecondDoseByVaccinationDate","cumVaccinationFirstDoseUptakeByVaccinationDatePercentage","cumVaccinationCompleteCoverageByVaccinationDatePercentage","cumVaccinationSecondDoseUptakeByVaccinationDatePercentage"
"1","nation","England","E92000001","2021-08-31","18_24",5273255,2176195,42973,3404984,4003,2176195,42973,64.6,41.3,41.3
"2","nation","England","E92000001","2021-08-31","25_29",4474620,2080639,22889,2813920,2306,2080639,22889,62.9,46.5,46.5
"3","nation","England","E92000001","2021-08-31","30_34",4772251,2587102,14977,3129942,1938,2587102,14977,65.6,54.2,54.2
"4","nation","England","E92000001","2021-08-31","35_39",4525196,2794956,8412,3180755,1243,2794956,8412,70.3,61.8,61.8
"5","nation","England","E92000001","2021-08-31","40_44",4135655,2909119,3447,3145632,718,2909119,3447,76.1,70.3,70.3
"6","nation","England","E92000001","2021-08-31","45_49",4007808,3100251,2260,3276693,527,3100251,2260,81.8,77.4,77.4
"7","nation","England","E92000001","2021-08-31","50_54",4231060,3520655,1073,3652842,346,3520655,1073,86.3,83.2,83.2
"8","nation","England","E92000001","2021-08-31","55_59",4079586,3504085,746,3620604,211,3504085,746,88.7,85.9,85.9
"9","nation","England","E92000001","2021-08-31","60_64",3451083,3041017,449,3125257,156,3041017,449,90.6,88.1,88.1
"10","nation","England","E92000001","2021-08-31","65_69",2888878,2626926,246,2670475,77,2626926,246,92.4,90.9,90.9
"11","nation","England","E92000001","2021-08-31","70_74",2867074,2679285,167,2711327,43,2679285,167,94.6,93.5,93.5
"12","nation","England","E92000001","2021-08-31","75_79",2070353,1956117,89,1978291,27,1956117,89,95.6,94.5,94.5
"13","nation","England","E92000001","2021-08-31","80_84",1427834,1342589,66,1365699,14,1342589,66,95.6,94,94
"14","nation","England","E92000001","2021-08-31","85_89",858022,804575,37,820674,10,804575,37,95.6,93.8,93.8
"15","nation","England","E92000001","2021-08-31","90+",474485,435991,25,446231,7,435991,25,94,91.9,91.9
"16","nation","England","E92000001","2021-08-30","18_24",5273255,2133222,22773,3400981,2139,2133222,22773,64.5,40.5,40.5
"17","nation","England","E92000001","2021-08-30","25_29",4474620,2057750,11565,2811614,1314,2057750,11565,62.8,46,46
"18","nation","England","E92000001","2021-08-30","30_34",4772251,2572125,7789,3128004,1035,2572125,7789,65.5,53.9,53.9
"19","nation","England","E92000001","2021-08-30","35_39",4525196,2786544,4159,3179512,707,2786544,4159,70.3,61.6,61.6
"20","nation","England","E92000001","2021-08-30","40_44",4135655,2905672,1634,3144914,397,2905672,1634,76,70.3,70.3
"21","nation","England","E92000001","2021-08-30","45_49",4007808,3097991,986,3276166,250,3097991,986,81.7,77.3,77.3
"22","nation","England","E92000001","2021-08-30","50_54",4231060,3519582,461,3652496,167,3519582,461,86.3,83.2,83.2
"23","nation","England","E92000001","2021-08-30","55_59",4079586,3503339,292,3620393,98,3503339,292,88.7,85.9,85.9
"24","nation","England","E92000001","2021-08-30","60_64",3451083,3040568,136,3125101,64,3040568,136,90.6,88.1,88.1
"25","nation","England","E92000001","2021-08-30","65_69",2888878,2626680,93,2670398,28,2626680,93,92.4,90.9,90.9
"26","nation","England","E92000001","2021-08-30","70_74",2867074,2679118,39,2711284,11,2679118,39,94.6,93.4,93.4
"27","nation","England","E92000001","2021-08-30","75_79",2070353,1956028,21,1978264,8,1956028,21,95.6,94.5,94.5
"28","nation","England","E92000001","2021-08-30","80_84",1427834,1342523,13,1365685,9,1342523,13,95.6,94,94
"29","nation","England","E92000001","2021-08-30","85_89",858022,804538,8,820664,0,804538,8,95.6,93.8,93.8
"30","nation","England","E92000001","2021-08-30","90+",474485,435966,1,446224,1,435966,1,94,91.9,91.9
"31","nation","England","E92000001","2021-08-29","18_24",5273255,2110449,26559,3398842,2532,2110449,26559,64.5,40,40
"32","nation","England","E92000001","2021-08-29","25_29",4474620,2046185,14397,2810300,1663,2046185,14397,62.8,45.7,45.7
"33","nation","England","E92000001","2021-08-29","30_34",4772251,2564336,11071,3126969,1358,2564336,11071,65.5,53.7,53.7
"34","nation","England","E92000001","2021-08-29","35_39",4525196,2782385,6084,3178805,802,2782385,6084,70.2,61.5,61.5
"35","nation","England","E92000001","2021-08-29","40_44",4135655,2904038,2139,3144517,515,2904038,2139,76,70.2,70.2
"36","nation","England","E92000001","2021-08-29","45_49",4007808,3097005,1355,3275916,372,3097005,1355,81.7,77.3,77.3
"37","nation","England","E92000001","2021-08-29","50_54",4231060,3519121,665,3652329,208,3519121,665,86.3,83.2,83.2
"38","nation","England","E92000001","2021-08-29","55_59",4079586,3503047,413,3620295,150,3503047,413,88.7,85.9,85.9
"39","nation","England","E92000001","2021-08-29","60_64",3451083,3040432,227,3125037,83,3040432,227,90.6,88.1,88.1
"40","nation","England","E92000001","2021-08-29","65_69",2888878,2626587,105,2670370,36,2626587,105,92.4,90.9,90.9
"41","nation","England","E92000001","2021-08-29","70_74",2867074,2679079,51,2711273,12,2679079,51,94.6,93.4,93.4
"42","nation","England","E92000001","2021-08-29","75_79",2070353,1956007,38,1978256,14,1956007,38,95.6,94.5,94.5
"43","nation","England","E92000001","2021-08-29","80_84",1427834,1342510,26,1365676,6,1342510,26,95.6,94,94
"44","nation","England","E92000001","2021-08-29","85_89",858022,804530,15,820664,2,804530,15,95.6,93.8,93.8
"45","nation","England","E92000001","2021-08-29","90+",474485,435965,7,446223,2,435965,7,94,91.9,91.9
"46","nation","England","E92000001","2021-08-28","18_24",5273255,2083890,46907,3396310,4559,2083890,46907,64.4,39.5,39.5
"47","nation","England","E92000001","2021-08-28","25_29",4474620,2031788,25296,2808637,3086,2031788,25296,62.8,45.4,45.4
"48","nation","England","E92000001","2021-08-28","30_34",4772251,2553265,19821,3125611,2412,2553265,19821,65.5,53.5,53.5
"49","nation","England","E92000001","2021-08-28","35_39",4525196,2776301,11202,3178003,1637,2776301,11202,70.2,61.4,61.4
"50","nation","England","E92000001","2021-08-28","40_44",4135655,2901899,4249,3144002,930,2901899,4249,76,70.2,70.2
"51","nation","England","E92000001","2021-08-28","45_49",4007808,3095650,2800,3275544,656,3095650,2800,81.7,77.2,77.2
"52","nation","England","E92000001","2021-08-28","50_54",4231060,3518456,1370,3652121,397,3518456,1370,86.3,83.2,83.2
"53","nation","England","E92000001","2021-08-28","55_59",4079586,3502634,993,3620145,283,3502634,993,88.7,85.9,85.9
"54","nation","England","E92000001","2021-08-28","60_64",3451083,3040205,535,3124954,161,3040205,535,90.5,88.1,88.1
"55","nation","England","E92000001","2021-08-28","65_69",2888878,2626482,236,2670334,83,2626482,236,92.4,90.9,90.9
"56","nation","England","E92000001","2021-08-28","70_74",2867074,2679028,136,2711261,43,2679028,136,94.6,93.4,93.4
"57","nation","England","E92000001","2021-08-28","75_79",2070353,1955969,61,1978242,18,1955969,61,95.6,94.5,94.5
"58","nation","England","E92000001","2021-08-28","80_84",1427834,1342484,43,1365670,14,1342484,43,95.6,94,94
"59","nation","England","E92000001","2021-08-28","85_89",858022,804515,27,820662,7,804515,27,95.6,93.8,93.8
"60","nation","England","E92000001","2021-08-28","90+",474485,435958,6,446221,3,435958,6,94,91.9,91.9
"61","nation","England","E92000001","2021-08-27","18_24",5273255,2036983,44717,3391751,4659,2036983,44717,64.3,38.6,38.6
"62","nation","England","E92000001","2021-08-27","25_29",4474620,2006492,24824,2805551,2980,2006492,24824,62.7,44.8,44.8
"63","nation","England","E92000001","2021-08-27","30_34",4772251,2533444,20743,3123199,2508,2533444,20743,65.4,53.1,53.1
"64","nation","England","E92000001","2021-08-27","35_39",4525196,2765099,11318,3176366,1677,2765099,11318,70.2,61.1,61.1
"65","nation","England","E92000001","2021-08-27","40_44",4135655,2897650,3963,3143072,1019,2897650,3963,76,70.1,70.1
"66","nation","England","E92000001","2021-08-27","45_49",4007808,3092850,2653,3274888,701,3092850,2653,81.7,77.2,77.2
"67","nation","England","E92000001","2021-08-27","50_54",4231060,3517086,1235,3651724,423,3517086,1235,86.3,83.1,83.1
"68","nation","England","E92000001","2021-08-27","55_59",4079586,3501641,891,3619862,296,3501641,891,88.7,85.8,85.8
"69","nation","England","E92000001","2021-08-27","60_64",3451083,3039670,504,3124793,175,3039670,504,90.5,88.1,88.1
"70","nation","England","E92000001","2021-08-27","65_69",2888878,2626246,281,2670251,91,2626246,281,92.4,90.9,90.9
"71","nation","England","E92000001","2021-08-27","70_74",2867074,2678892,131,2711218,52,2678892,131,94.6,93.4,93.4
"72","nation","England","E92000001","2021-08-27","75_79",2070353,1955908,105,1978224,43,1955908,105,95.6,94.5,94.5
"73","nation","England","E92000001","2021-08-27","80_84",1427834,1342441,55,1365656,20,1342441,55,95.6,94,94
"74","nation","England","E92000001","2021-08-27","85_89",858022,804488,48,820655,15,804488,48,95.6,93.8,93.8
"75","nation","England","E92000001","2021-08-27","90+",474485,435952,19,446218,10,435952,19,94,91.9,91.9
"76","nation","England","E92000001","2021-08-26","18_24",5273255,1992266,52697,3387092,5345,1992266,52697,64.2,37.8,37.8
"77","nation","England","E92000001","2021-08-26","25_29",4474620,1981668,27249,2802571,3155,1981668,27249,62.6,44.3,44.3
"78","nation","England","E92000001","2021-08-26","30_34",4772251,2512701,20915,3120691,2531,2512701,20915,65.4,52.7,52.7
"79","nation","England","E92000001","2021-08-26","35_39",4525196,2753781,11726,3174689,1722,2753781,11726,70.2,60.9,60.9
"80","nation","England","E92000001","2021-08-26","40_44",4135655,2893687,4146,3142053,1016,2893687,4146,76,70,70
"81","nation","England","E92000001","2021-08-26","45_49",4007808,3090197,2705,3274187,762,3090197,2705,81.7,77.1,77.1
"82","nation","England","E92000001","2021-08-26","50_54",4231060,3515851,1255,3651301,486,3515851,1255,86.3,83.1,83.1
"83","nation","England","E92000001","2021-08-26","55_59",4079586,3500750,910,3619566,326,3500750,910,88.7,85.8,85.8
"84","nation","England","E92000001","2021-08-26","60_64",3451083,3039166,513,3124618,202,3039166,513,90.5,88.1,88.1
"85","nation","England","E92000001","2021-08-26","65_69",2888878,2625965,303,2670160,133,2625965,303,92.4,90.9,90.9
"86","nation","England","E92000001","2021-08-26","70_74",2867074,2678761,204,2711166,63,2678761,204,94.6,93.4,93.4
"87","nation","England","E92000001","2021-08-26","75_79",2070353,1955803,125,1978181,33,1955803,125,95.5,94.5,94.5
"88","nation","England","E92000001","2021-08-26","80_84",1427834,1342386,78,1365636,21,1342386,78,95.6,94,94
"89","nation","England","E92000001","2021-08-26","85_89",858022,804440,45,820640,13,804440,45,95.6,93.8,93.8
"90","nation","England","E92000001","2021-08-26","90+",474485,435933,26,446208,8,435933,26,94,91.9,91.9
"91","nation","England","E92000001","2021-08-25","18_24",5273255,1939569,53237,3381747,5353,1939569,53237,64.1,36.8,36.8
"92","nation","England","E92000001","2021-08-25","25_29",4474620,1954419,28067,2799416,3193,1954419,28067,62.6,43.7,43.7
"93","nation","England","E92000001","2021-08-25","30_34",4772251,2491786,20759,3118160,2485,2491786,20759,65.3,52.2,52.2
"94","nation","England","E92000001","2021-08-25","35_39",4525196,2742055,11359,3172967,1704,2742055,11359,70.1,60.6,60.6
"95","nation","England","E92000001","2021-08-25","40_44",4135655,2889541,4132,3141037,965,2889541,4132,76,69.9,69.9
"96","nation","England","E92000001","2021-08-25","45_49",4007808,3087492,2600,3273425,686,3087492,2600,81.7,77,77
"97","nation","England","E92000001","2021-08-25","50_54",4231060,3514596,1309,3650815,443,3514596,1309,86.3,83.1,83.1
"98","nation","England","E92000001","2021-08-25","55_59",4079586,3499840,854,3619240,337,3499840,854,88.7,85.8,85.8
"99","nation","England","E92000001","2021-08-25","60_64",3451083,3038653,509,3124416,204,3038653,509,90.5,88,88
"100","nation","England","E92000001","2021-08-25","65_69",2888878,2625662,283,2670027,93,2625662,283,92.4,90.9,90.9
"101","nation","England","E92000001","2021-08-25","70_74",2867074,2678557,174,2711103,63,2678557,174,94.6,93.4,93.4
"102","nation","England","E92000001","2021-08-25","75_79",2070353,1955678,96,1978148,41,1955678,96,95.5,94.5,94.5
"103","nation","England","E92000001","2021-08-25","80_84",1427834,1342308,77,1365615,18,1342308,77,95.6,94,94
"104","nation","England","E92000001","2021-08-25","85_89",858022,804395,48,820627,19,804395,48,95.6,93.7,93.7
"105","nation","England","E92000001","2021-08-25","90+",474485,435907,21,446200,12,435907,21,94,91.9,91.9
"106","nation","England","E92000001","2021-08-24","18_24",5273255,1886332,52733,3376394,5353,1886332,52733,64,35.8,35.8
"107","nation","England","E92000001","2021-08-24","25_29",4474620,1926352,26902,2796223,3220,1926352,26902,62.5,43.1,43.1
"108","nation","England","E92000001","2021-08-24","30_34",4772251,2471027,19404,3115675,2463,2471027,19404,65.3,51.8,51.8
"109","nation","England","E92000001","2021-08-24","35_39",4525196,2730696,10749,3171263,1712,2730696,10749,70.1,60.3,60.3
"110","nation","England","E92000001","2021-08-24","40_44",4135655,2885409,3933,3140072,994,2885409,3933,75.9,69.8,69.8
"111","nation","England","E92000001","2021-08-24","45_49",4007808,3084892,2485,3272739,661,3084892,2485,81.7,77,77
"112","nation","England","E92000001","2021-08-24","50_54",4231060,3513287,1228,3650372,447,3513287,1228,86.3,83,83
"113","nation","England","E92000001","2021-08-24","55_59",4079586,3498986,855,3618903,304,3498986,855,88.7,85.8,85.8
"114","nation","England","E92000001","2021-08-24","60_64",3451083,3038144,461,3124212,179,3038144,461,90.5,88,88
"115","nation","England","E92000001","2021-08-24","65_69",2888878,2625379,262,2669934,100,2625379,262,92.4,90.9,90.9
"116","nation","England","E92000001","2021-08-24","70_74",2867074,2678383,145,2711040,71,2678383,145,94.6,93.4,93.4
"117","nation","England","E92000001","2021-08-24","75_79",2070353,1955582,92,1978107,42,1955582,92,95.5,94.5,94.5
"118","nation","England","E92000001","2021-08-24","80_84",1427834,1342231,57,1365597,19,1342231,57,95.6,94,94
"119","nation","England","E92000001","2021-08-24","85_89",858022,804347,37,820608,11,804347,37,95.6,93.7,93.7
"120","nation","England","E92000001","2021-08-24","90+",474485,435886,20,446188,7,435886,20,94,91.9,91.9
"121","nation","England","E92000001","2021-08-23","18_24",5273255,1833599,47110,3371041,4377,1833599,47110,63.9,34.8,34.8
"122","nation","England","E92000001","2021-08-23","25_29",4474620,1899450,26622,2793003,2545,1899450,26622,62.4,42.4,42.4
"123","nation","England","E92000001","2021-08-23","30_34",4772251,2451623,17352,3113212,1890,2451623,17352,65.2,51.4,51.4
"124","nation","England","E92000001","2021-08-23","35_39",4525196,2719947,9196,3169551,1289,2719947,9196,70,60.1,60.1
"125","nation","England","E92000001","2021-08-23","40_44",4135655,2881476,3632,3139078,758,2881476,3632,75.9,69.7,69.7
"126","nation","England","E92000001","2021-08-23","45_49",4007808,3082407,2292,3272078,549,3082407,2292,81.6,76.9,76.9
"127","nation","England","E92000001","2021-08-23","50_54",4231060,3512059,1019,3649925,321,3512059,1019,86.3,83,83
"128","nation","England","E92000001","2021-08-23","55_59",4079586,3498131,725,3618599,242,3498131,725,88.7,85.7,85.7
"129","nation","England","E92000001","2021-08-23","60_64",3451083,3037683,404,3124033,139,3037683,404,90.5,88,88
"130","nation","England","E92000001","2021-08-23","65_69",2888878,2625117,205,2669834,80,2625117,205,92.4,90.9,90.9
"131","nation","England","E92000001","2021-08-23","70_74",2867074,2678238,127,2710969,34,2678238,127,94.6,93.4,93.4
"132","nation","England","E92000001","2021-08-23","75_79",2070353,1955490,65,1978065,26,1955490,65,95.5,94.5,94.5
"133","nation","England","E92000001","2021-08-23","80_84",1427834,1342174,44,1365578,18,1342174,44,95.6,94,94
"134","nation","England","E92000001","2021-08-23","85_89",858022,804310,27,820597,8,804310,27,95.6,93.7,93.7
"135","nation","England","E92000001","2021-08-23","90+",474485,435866,11,446181,4,435866,11,94,91.9,91.9
"136","nation","England","E92000001","2021-08-22","18_24",5273255,1786489,39290,3366664,3497,1786489,39290,63.8,33.9,33.9
"137","nation","England","E92000001","2021-08-22","25_29",4474620,1872828,22560,2790458,2079,1872828,22560,62.4,41.9,41.9
"138","nation","England","E92000001","2021-08-22","30_34",4772251,2434271,16026,3111322,1615,2434271,16026,65.2,51,51
"139","nation","England","E92000001","2021-08-22","35_39",4525196,2710751,8715,3168262,1121,2710751,8715,70,59.9,59.9
"140","nation","England","E92000001","2021-08-22","40_44",4135655,2877844,2948,3138320,595,2877844,2948,75.9,69.6,69.6
"141","nation","England","E92000001","2021-08-22","45_49",4007808,3080115,1915,3271529,426,3080115,1915,81.6,76.9,76.9
"142","nation","England","E92000001","2021-08-22","50_54",4231060,3511040,861,3649604,277,3511040,861,86.3,83,83
"143","nation","England","E92000001","2021-08-22","55_59",4079586,3497406,580,3618357,187,3497406,580,88.7,85.7,85.7
"144","nation","England","E92000001","2021-08-22","60_64",3451083,3037279,315,3123894,106,3037279,315,90.5,88,88
"145","nation","England","E92000001","2021-08-22","65_69",2888878,2624912,148,2669754,46,2624912,148,92.4,90.9,90.9
"146","nation","England","E92000001","2021-08-22","70_74",2867074,2678111,77,2710935,22,2678111,77,94.6,93.4,93.4
"147","nation","England","E92000001","2021-08-22","75_79",2070353,1955425,28,1978039,9,1955425,28,95.5,94.4,94.4
"148","nation","England","E92000001","2021-08-22","80_84",1427834,1342130,21,1365560,10,1342130,21,95.6,94,94
"149","nation","England","E92000001","2021-08-22","85_89",858022,804283,9,820589,9,804283,9,95.6,93.7,93.7
"150","nation","England","E92000001","2021-08-22","90+",474485,435855,2,446177,1,435855,2,94,91.9,91.9
"151","nation","England","E92000001","2021-08-21","18_24",5273255,1747199,71614,3363167,6168,1747199,71614,63.8,33.1,33.1
"152","nation","England","E92000001","2021-08-21","25_29",4474620,1850268,40874,2788379,3925,1850268,40874,62.3,41.4,41.4
"153","nation","England","E92000001","2021-08-21","30_34",4772251,2418245,27756,3109707,2988,2418245,27756,65.2,50.7,50.7
"154","nation","England","E92000001","2021-08-21","35_39",4525196,2702036,16306,3167141,2007,2702036,16306,70,59.7,59.7
"155","nation","England","E92000001","2021-08-21","40_44",4135655,2874896,6376,3137725,1189,2874896,6376,75.9,69.5,69.5
"156","nation","England","E92000001","2021-08-21","45_49",4007808,3078200,3988,3271103,862,3078200,3988,81.6,76.8,76.8
"157","nation","England","E92000001","2021-08-21","50_54",4231060,3510179,1743,3649327,580,3510179,1743,86.3,83,83
"158","nation","England","E92000001","2021-08-21","55_59",4079586,3496826,1274,3618170,400,3496826,1274,88.7,85.7,85.7
"159","nation","England","E92000001","2021-08-21","60_64",3451083,3036964,646,3123788,221,3036964,646,90.5,88,88
"160","nation","England","E92000001","2021-08-21","65_69",2888878,2624764,342,2669708,133,2624764,342,92.4,90.9,90.9
"161","nation","England","E92000001","2021-08-21","70_74",2867074,2678034,170,2710913,53,2678034,170,94.6,93.4,93.4
"162","nation","England","E92000001","2021-08-21","75_79",2070353,1955397,102,1978030,40,1955397,102,95.5,94.4,94.4
"163","nation","England","E92000001","2021-08-21","80_84",1427834,1342109,50,1365550,21,1342109,50,95.6,94,94
"164","nation","England","E92000001","2021-08-21","85_89",858022,804274,26,820580,15,804274,26,95.6,93.7,93.7
"165","nation","England","E92000001","2021-08-21","90+",474485,435853,13,446176,1,435853,13,94,91.9,91.9
"166","nation","England","E92000001","2021-08-20","18_24",5273255,1675585,57053,3356999,5647,1675585,57053,63.7,31.8,31.8
"167","nation","England","E92000001","2021-08-20","25_29",4474620,1809394,34985,2784454,3476,1809394,34985,62.2,40.4,40.4
"168","nation","England","E92000001","2021-08-20","30_34",4772251,2390489,24726,3106719,2708,2390489,24726,65.1,50.1,50.1
"169","nation","England","E92000001","2021-08-20","35_39",4525196,2685730,14684,3165134,1926,2685730,14684,69.9,59.4,59.4
"170","nation","England","E92000001","2021-08-20","40_44",4135655,2868520,4963,3136536,1029,2868520,4963,75.8,69.4,69.4
"171","nation","England","E92000001","2021-08-20","45_49",4007808,3074212,3224,3270241,744,3074212,3224,81.6,76.7,76.7
"172","nation","England","E92000001","2021-08-20","50_54",4231060,3508436,1366,3648747,498,3508436,1366,86.2,82.9,82.9
"173","nation","England","E92000001","2021-08-20","55_59",4079586,3495552,950,3617770,321,3495552,950,88.7,85.7,85.7
"174","nation","England","E92000001","2021-08-20","60_64",3451083,3036318,572,3123567,198,3036318,572,90.5,88,88
"175","nation","England","E92000001","2021-08-20","65_69",2888878,2624422,286,2669575,116,2624422,286,92.4,90.8,90.8
"176","nation","England","E92000001","2021-08-20","70_74",2867074,2677864,161,2710860,59,2677864,161,94.6,93.4,93.4
"177","nation","England","E92000001","2021-08-20","75_79",2070353,1955295,96,1977990,42,1955295,96,95.5,94.4,94.4
"178","nation","England","E92000001","2021-08-20","80_84",1427834,1342059,64,1365529,22,1342059,64,95.6,94,94
"179","nation","England","E92000001","2021-08-20","85_89",858022,804248,37,820565,13,804248,37,95.6,93.7,93.7
"180","nation","England","E92000001","2021-08-20","90+",474485,435840,26,446175,4,435840,26,94,91.9,91.9
"181","nation","England","E92000001","2021-08-19","18_24",5273255,1618532,62187,3351352,5943,1618532,62187,63.6,30.7,30.7
"182","nation","England","E92000001","2021-08-19","25_29",4474620,1774409,37071,2780978,3579,1774409,37071,62.2,39.7,39.7
"183","nation","England","E92000001","2021-08-19","30_34",4772251,2365763,24986,3104011,2777,2365763,24986,65,49.6,49.6
"184","nation","England","E92000001","2021-08-19","35_39",4525196,2671046,14602,3163208,1848,2671046,14602,69.9,59,59
"185","nation","England","E92000001","2021-08-19","40_44",4135655,2863557,4856,3135507,1116,2863557,4856,75.8,69.2,69.2
"186","nation","England","E92000001","2021-08-19","45_49",4007808,3070988,3001,3269497,769,3070988,3001,81.6,76.6,76.6
"187","nation","England","E92000001","2021-08-19","50_54",4231060,3507070,1363,3648249,489,3507070,1363,86.2,82.9,82.9
"188","nation","England","E92000001","2021-08-19","55_59",4079586,3494602,931,3617449,331,3494602,931,88.7,85.7,85.7
"189","nation","England","E92000001","2021-08-19","60_64",3451083,3035746,546,3123369,226,3035746,546,90.5,88,88
"190","nation","England","E92000001","2021-08-19","65_69",2888878,2624136,304,2669459,117,2624136,304,92.4,90.8,90.8
"191","nation","England","E92000001","2021-08-19","70_74",2867074,2677703,183,2710801,82,2677703,183,94.5,93.4,93.4
"192","nation","England","E92000001","2021-08-19","75_79",2070353,1955199,110,1977948,36,1955199,110,95.5,94.4,94.4
"193","nation","England","E92000001","2021-08-19","80_84",1427834,1341995,79,1365507,22,1341995,79,95.6,94,94
"194","nation","England","E92000001","2021-08-19","85_89",858022,804211,52,820552,9,804211,52,95.6,93.7,93.7
"195","nation","England","E92000001","2021-08-19","90+",474485,435814,32,446171,7,435814,32,94,91.8,91.8
"196","nation","England","E92000001","2021-08-18","18_24",5273255,1556345,57627,3345409,5903,1556345,57627,63.4,29.5,29.5
"197","nation","England","E92000001","2021-08-18","25_29",4474620,1737338,37058,2777399,3426,1737338,37058,62.1,38.8,38.8
"198","nation","England","E92000001","2021-08-18","30_34",4772251,2340777,23863,3101234,2643,2340777,23863,65,49,49
"199","nation","England","E92000001","2021-08-18","35_39",4525196,2656444,13975,3161360,1786,2656444,13975,69.9,58.7,58.7
"200","nation","England","E92000001","2021-08-18","40_44",4135655,2858701,4690,3134391,1043,2858701,4690,75.8,69.1,69.1
"201","nation","England","E92000001","2021-08-18","45_49",4007808,3067987,2758,3268728,662,3067987,2758,81.6,76.6,76.6
"202","nation","England","E92000001","2021-08-18","50_54",4231060,3505707,1220,3647760,442,3505707,1220,86.2,82.9,82.9
"203","nation","England","E92000001","2021-08-18","55_59",4079586,3493671,866,3617118,300,3493671,866,88.7,85.6,85.6
"204","nation","England","E92000001","2021-08-18","60_64",3451083,3035200,504,3123143,162,3035200,504,90.5,87.9,87.9
"205","nation","England","E92000001","2021-08-18","65_69",2888878,2623832,273,2669342,101,2623832,273,92.4,90.8,90.8
"206","nation","England","E92000001","2021-08-18","70_74",2867074,2677520,171,2710719,69,2677520,171,94.5,93.4,93.4
"207","nation","England","E92000001","2021-08-18","75_79",2070353,1955089,93,1977912,29,1955089,93,95.5,94.4,94.4
"208","nation","England","E92000001","2021-08-18","80_84",1427834,1341916,62,1365485,18,1341916,62,95.6,94,94
"209","nation","England","E92000001","2021-08-18","85_89",858022,804159,55,820543,14,804159,55,95.6,93.7,93.7
"210","nation","England","E92000001","2021-08-18","90+",474485,435782,29,446164,6,435782,29,94,91.8,91.8
"211","nation","England","E92000001","2021-08-17","18_24",5273255,1498718,45888,3339506,5473,1498718,45888,63.3,28.4,28.4
"212","nation","England","E92000001","2021-08-17","25_29",4474620,1700280,30855,2773973,3151,1700280,30855,62,38,38
"213","nation","England","E92000001","2021-08-17","30_34",4772251,2316914,18947,3098591,2507,2316914,18947,64.9,48.5,48.5
"214","nation","England","E92000001","2021-08-17","35_39",4525196,2642469,11572,3159574,1625,2642469,11572,69.8,58.4,58.4
"215","nation","England","E92000001","2021-08-17","40_44",4135655,2854011,4259,3133348,986,2854011,4259,75.8,69,69
"216","nation","England","E92000001","2021-08-17","45_49",4007808,3065229,2554,3268066,695,3065229,2554,81.5,76.5,76.5
"217","nation","England","E92000001","2021-08-17","50_54",4231060,3504487,1147,3647318,409,3504487,1147,86.2,82.8,82.8
"218","nation","England","E92000001","2021-08-17","55_59",4079586,3492805,786,3616818,345,3492805,786,88.7,85.6,85.6
"219","nation","England","E92000001","2021-08-17","60_64",3451083,3034696,429,3122981,215,3034696,429,90.5,87.9,87.9
"220","nation","England","E92000001","2021-08-17","65_69",2888878,2623559,247,2669241,90,2623559,247,92.4,90.8,90.8
"221","nation","England","E92000001","2021-08-17","70_74",2867074,2677349,126,2710650,56,2677349,126,94.5,93.4,93.4
"222","nation","England","E92000001","2021-08-17","75_79",2070353,1954996,100,1977883,38,1954996,100,95.5,94.4,94.4
"223","nation","England","E92000001","2021-08-17","80_84",1427834,1341854,49,1365467,23,1341854,49,95.6,94,94
"224","nation","England","E92000001","2021-08-17","85_89",858022,804104,34,820529,11,804104,34,95.6,93.7,93.7
"225","nation","England","E92000001","2021-08-17","90+",474485,435753,25,446158,11,435753,25,94,91.8,91.8
"226","nation","England","E92000001","2021-08-16","18_24",5273255,1452830,40166,3334033,5177,1452830,40166,63.2,27.6,27.6
"227","nation","England","E92000001","2021-08-16","25_29",4474620,1669425,33440,2770822,2929,1669425,33440,61.9,37.3,37.3
"228","nation","England","E92000001","2021-08-16","30_34",4772251,2297967,18776,3096084,2196,2297967,18776,64.9,48.2,48.2
"229","nation","England","E92000001","2021-08-16","35_39",4525196,2630897,11703,3157949,1529,2630897,11703,69.8,58.1,58.1
"230","nation","England","E92000001","2021-08-16","40_44",4135655,2849752,4677,3132362,860,2849752,4677,75.7,68.9,68.9
"231","nation","England","E92000001","2021-08-16","45_49",4007808,3062675,2616,3267371,593,3062675,2616,81.5,76.4,76.4
"232","nation","England","E92000001","2021-08-16","50_54",4231060,3503340,1043,3646909,377,3503340,1043,86.2,82.8,82.8
"233","nation","England","E92000001","2021-08-16","55_59",4079586,3492019,707,3616473,255,3492019,707,88.6,85.6,85.6
"234","nation","England","E92000001","2021-08-16","60_64",3451083,3034267,418,3122766,157,3034267,418,90.5,87.9,87.9
"235","nation","England","E92000001","2021-08-16","65_69",2888878,2623312,211,2669151,79,2623312,211,92.4,90.8,90.8
"236","nation","England","E92000001","2021-08-16","70_74",2867074,2677223,127,2710594,50,2677223,127,94.5,93.4,93.4
"237","nation","England","E92000001","2021-08-16","75_79",2070353,1954896,60,1977845,26,1954896,60,95.5,94.4,94.4
